Susan; Thu Mar 27 14:19:21 GMT 2014; 51.5276 N  0.1042 W; City Law School; INNS; 36; BLUE; 9; 50
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); MIGRAINE; 44; RED; 9; 50
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); SMITHFIELD; 36; RED; 15; 50
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); MARKET; 54; BLUE; 5; 50
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); CITY; 39; GREEN; 11; 50
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); CHARTERHOUSE; 37; CYAN; 14; 50
Susan; Thu Mar 27 15:09:54 GMT 2014; 51.5094 N  0.1035 W; Blackfriars Railway Bridge; BLACKFRIARS; 77; RED; 2; 53
Susan; Thu Mar 27 15:09:54 GMT 2014; 51.5094 N  0.1035 W; Blackfriars Railway Bridge; JPG; 69; GREEN; 3; 53
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; ELEPHANT; 42; CYAN; 9; 50
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; CORONET; 67; RED; 3; 50
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; STATION; 72; GREEN; 2; 50
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; PASSPORT; 29; BLACK; 18; 50
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; PASSPORT; 60; BLACK; 2; 50
Susan; Thu Mar 27 15:49:10 GMT 2014; 51.3997 N  0.0454 E; Bickley railway station; BICKLEY; 50; BLACK; 5; 50
Susan; Thu Mar 27 16:35:08 GMT 2014; 51.4110 N  0.0514 E; Bullers Wood School; BICKLEY; 31; MAGENTA; 22; 50
Susan; Thu Mar 27 16:35:08 GMT 2014; 51.4110 N  0.0514 E; Bullers Wood School; WILLETT; 58; GREEN; 4; 50
Susan; Thu Mar 27 16:35:08 GMT 2014; 51.4110 N  0.0514 E; Bullers Wood School; FARAGE; 30; CYAN; 26; 50
Susan; Thu Mar 27 16:35:08 GMT 2014; 51.4110 N  0.0514 E; Bullers Wood School; WILLETT; 94; MAGENTA; 1; 50
Susan; Thu Mar 27 16:35:08 GMT 2014; 51.4110 N  0.0514 E; Bullers Wood School; SCHOOLS; 30; BLUE; 26; 50
Susan; Thu Mar 27 20:43:49 GMT 2014; 51.4115 N  0.0522 E; Bullers Wood School; ELMSTEAD; 73; BLACK; 2; 53
Susan; Thu Mar 27 20:43:49 GMT 2014; 51.4115 N  0.0522 E; Bullers Wood School; WILLETT; 56; GREEN; 4; 53
Susan; Thu Mar 27 22:33:52 GMT 2014; 51.4109 N  0.0512 E; Bullers Wood School; SOUTH; 50; RED; 7; 50
Susan; Thu Mar 27 22:33:52 GMT 2014; 51.4109 N  0.0512 E; Bullers Wood School; UKIP; 74; GREEN; 2; 50
Susan; Thu Mar 27 22:33:52 GMT 2014; 51.4109 N  0.0512 E; Bullers Wood School; FARAGE; 118; MAGENTA; 1; 50
